ID,Name,Year,Distance,Area
C0R360,墾丁,2008.0,4500.0,7441.011480013062
C0R370,佳樂水,2008.0,4500.0,3431.3858179917233
C0R380,枋寮,2008.0,4500.0,0.0
C0R400,楓港,2008.0,4500.0,243264.0440188142
C0R420,牡丹池山,2008.0,4500.0,16089.740211350147
C0R430,東港,2008.0,4500.0,0.0
C0R500,竹田,2008.0,4500.0,0.0
C1R090,里港,2008.0,4500.0,0.0
C1R130,阿禮,2008.0,4500.0,622419.1650264967
C1R140,瑪家,2008.0,4500.0,324788.9809080771
C1R160,新圍,2008.0,4500.0,0.0
C1R170,屏東,2008.0,4500.0,0.0
C1R190,赤山,2008.0,4500.0,774.0058214679384
C1R200,龍泉,2008.0,4500.0,0.0
C1R201,龍泉,2008.0,4500.0,0.0
C1R210,麟洛,2008.0,4500.0,0.0
C1R230,南州,2008.0,4500.0,0.0
C1R240,來義,2008.0,4500.0,2259.6299709966656
C1R260,春日,2008.0,4500.0,16695.634345251026
C1R300,旭海,2008.0,4500.0,6698.049411503595
C1R320,車城,2008.0,4500.0,20.448797016069236
C1R330,枋山,2008.0,4500.0,293088.03861797485
C1R340,牡丹,2008.0,4500.0,56155.84166261888
C1R440,大漢山,2008.0,4500.0,231516.91895793684
467590,恆春,2009.0,4500.0,25689.53726252065
467790,墾丁雷達站,2009.0,4500.0,4566.967073191892
C0R100,尾寮山,2009.0,4500.0,3040150.6817046525
C0R130,阿禮,2009.0,4500.0,5238372.195891259
C0R140,瑪家,2009.0,4500.0,1977133.0683484199
C0R150,三地門,2009.0,4500.0,128193.91912890345
C0R160,鹽埔,2009.0,4500.0,0.0
C0R170,屏東,2009.0,4500.0,0.0
C0R190,赤山,2009.0,4500.0,1120.5587822124992
C0R220,潮州,2009.0,4500.0,0.0
C0R240,來義,2009.0,4500.0,82944.65237784077
C0R260,春日,2009.0,4500.0,31502.69924931989
C0R270,琉球嶼,2009.0,4500.0,0.0
C0R280,檳榔,2009.0,4500.0,22948.384348493128
C0R320,車城,2009.0,4500.0,62129.111003079466
C0R341,牡丹,2009.0,4500.0,51776.6592389147
C0R350,貓鼻頭,2009.0,4500.0,0.0
C0R440,大漢山,2009.0,4500.0,1623990.053441629
C0R470,高樹,2009.0,4500.0,0.0
C0R480,長治,2009.0,4500.0,0.0
C0R490,九如,2009.0,4500.0,0.0
C0R510,萬丹,2009.0,4500.0,0.0
C0R520,崁頂,2009.0,4500.0,0.0
C0R530,林邊,2009.0,4500.0,0.0
C0R540,佳冬,2009.0,4500.0,0.0
C0R550,新埤,2009.0,4500.0,0.0
C0R560,新園,2009.0,4500.0,0.0
C0R570,麟洛,2009.0,4500.0,0.0
C0R580,南州,2009.0,4500.0,0.0
C0R590,里港,2009.0,4500.0,0.0
C0R600,舊泰武,2009.0,4500.0,853792.8795338381
C0R620,墾雷,2009.0,4500.0,0.0
C0R640,東港,2009.0,4500.0,0.0
C0R650,竹田,2009.0,4500.0,0.0
C0R660,枋寮,2009.0,4500.0,0.0
C0R670,楓港,2009.0,4500.0,42144.167529922765
C0R680,佳樂水,2009.0,4500.0,0.0
C0R690,墾丁,2009.0,4500.0,4566.967073191892
C0R700,枋山,2009.0,4500.0,18334.805185447738
C0R710,龍磐,2009.0,4500.0,4566.967073191892
C0R720,旭海,2009.0,4500.0,9347.461297979207
C0R730,大坪頂,2009.0,4500.0,0.0
C0R740,獅子,2009.0,4500.0,43764.67298351759
C0R750,四林格山,2009.0,4500.0,12650.431131347512
C0R760,南仁湖,2009.0,4500.0,37301.24223243358
C0R770,保力,2009.0,4500.0,22337.815245850543
C0R780,滿州,2009.0,4500.0,0.0
C0R790,九棚,2009.0,4500.0,4520.574985406306
C0R800,丹路,2009.0,4500.0,40440.44961727159
C0R810,內獅,2009.0,4500.0,10110.589718337578
C0R820,白鷺,2009.0,4500.0,962016.8667843825
C0R830,高士,2009.0,4500.0,32555.801086303265
C0R840,牡丹池山,2009.0,4500.0,40624.590145290786
C1R110,口社,2009.0,4500.0,412851.21276575327
C1R120,上德文,2009.0,4500.0,4645998.361016016
